,t_5,rt_5,t_4,rt_4,t_3,rt_3,t_2,rt_2,t_1,rt_1,t_0,rt0,t1,rt1,t2,rt2,t3,rt3,t4,rt4,t5,rt5,avg_sent,sent_val,D0
230,2014-06-21,0.0024957102470235526,2014-06-22,0.012602021505672134,2014-06-23,-0.017028795635798843,2014-06-24,-0.01627137280370361,2014-06-25,-0.029756782803892934,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,0.4878333333333333,pos,1
231,2014-06-22,0.012602021505672134,2014-06-23,-0.017028795635798843,2014-06-24,-0.01627137280370361,2014-06-25,-0.029756782803892934,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,0.462425,pos,1
232,2014-06-23,-0.017028795635798843,2014-06-24,-0.01627137280370361,2014-06-25,-0.029756782803892934,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,-0.28555,neg,0
233,2014-06-24,-0.01627137280370361,2014-06-25,-0.029756782803892934,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,-0.1027,neg,0
234,2014-06-25,-0.029756782803892934,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,0.05939999999999998,pos,1
235,2014-06-26,0.03372200699932537,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,0.3182,pos,1
236,2014-06-27,0.03505946569551166,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,-0.01639999999999997,neg,0
237,2014-06-28,-0.009912147236801228,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,-0.28115,neg,0
238,2014-06-29,0.012119715771731654,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,-0.17759999999999998,neg,0
239,2014-06-30,0.06637507156454037,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,0.0772,pos,1
240,2014-07-01,0.008984383907109983,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,-0.54495,neg,0
241,2014-07-02,0.014698210154490354,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,0.0042,pos,1
242,2014-07-03,-0.008309066101763296,2014-07-04,-0.022533472193808968,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,-0.1495,neg,0
243,2014-07-05,0.0003899884452376323,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,-0.296,neg,0
244,2014-07-06,0.007440069867285848,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,0.3902,pos,1
245,2014-07-07,-0.020743226210079957,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,0.3078666666666667,pos,1
246,2014-07-08,0.0021950716025971317,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,-0.4939,neg,0
247,2014-07-09,-0.005111160048294705,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,0.2076,pos,1
248,2014-07-10,-0.009814098400809934,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,0.042899999999999994,pos,1
249,2014-07-11,0.028698114224861015,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,0.24766666666666667,pos,1
250,2014-07-12,0.0019136390679983517,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,-0.148025,neg,0
251,2014-07-13,-0.012545337920551236,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,0.4588,pos,1
252,2014-07-14,-0.01615052311754539,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,-0.013600000000000001,neg,0
253,2014-07-15,0.004398889664162464,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,0.10133333333333332,pos,1
254,2014-07-16,-0.008242054675160815,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,0.3182,pos,1
255,2014-07-17,0.010789253841534174,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,-0.010050000000000003,neg,0
256,2014-07-18,0.010744144057016403,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,0.11736666666666667,pos,1
257,2014-07-19,-0.003166937188143648,2014-07-20,-0.005101477782892494,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,0.54105,pos,1
258,2014-07-21,-0.006263762502826342,2014-07-22,-0.0015576928468410411,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,0.34,pos,1
259,2014-07-23,2.4036256431880787e-05,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,-0.09401999999999999,neg,0
