time,btc,ada,algo,ant,bat,bch,bnb,bsv,btg,busd,cro,cvc,dai,dash,dcr,dgb,doge,drgn,elf,eos_eth,etc,eth,ftt,fun,fxc,gas,gno,gnt,gusd,hedg,ht,husd,knc,lend,leo_eos,leo_eth,link,loom,lpt,ltc,maid,mana,matic_eth,mkr,neo,nxm,omg,pax,paxg,pay,poly,powr,ppt,qash,qnt,ren,rep,sai,snt,snx,trx_eth,tusd,usdc,usdk,usdt,vtc,wtc,xem,xrp,xtz,xvg,zec,zrx
2015-05-15,87.24447437,,,,,,,,,,,,,164.94129194,,320.34573281,58.36389512,,,,,,,,,,,,,,,,,,,,,,,51.25264816,890.75827128,,,,,,,,,,,,,,,,,,,,,,,,2704.310051788976,29.96493518,,2482.23123901,763.128726385528,,158.32491059,,
2015-05-16,113.62643654,,,,,,,,,,,,,100.9653117,,271.28573429,43.20055056,,,,,,,,,,,,,,,,,,,,,,,67.58453537,919.41459272,,,,,,,,,,,,,,,,,,,,,,,,1400.890868596882,48.85467609,,207.1368246,6122.423127018921,,643.62054805,,
2015-05-17,127.97626753,,,,,,,,,,,,,116.84666715,,98.71787972,111.81305541,,,,,,,,,,,,,,,,,,,,,,,77.71296705,809.76039594,,,,,,,,,,,,,,,,,,,,,,,,397.662484483698,144.65325009,,1289.82157909,720.002597006557,,755.08527491,,
2015-05-18,77.74744116,,,,,,,,,,,,,107.20368686,,250.67848823,64.26407318,,,,,,,,,,,,,,,,,,,,,,,51.4654321,2648.34833598,,,,,,,,,,,,,,,,,,,,,,,,1.983214760922,21.05253047,,249.28955045,146.722972993931,,589.24263839,,
2015-05-19,58.70048982,,,,,,,,,,,,,115.51589889,,322.25480924,55.86250322,,,,,,,,,,,,,,,,,,,,,,,63.70819921,264.23378566,,,,,,,,,,,,,,,,,,,,,,,,21.965675353759,10.48929244,,136.48543617,163.090039909882,,358.89888942,,
2015-05-20,69.92659503,,,,,,,,,,,,,113.01394593,,309.18348718,38.38691658,,,,,,,,,,,,,,,,,,,,,,,55.50530833,172.43823121,,,,,,,,,,,,,,,,,,,,,,,,991.740112941567,34.72365291,,124.3460128,489.915532737757,,884.10606292,,
2015-05-21,69.85906071,,,,,,,,,,,,,98.23415233,,328.11598658,50.71945657,,,,,,,,,,,,,,,,,,,,,,,52.87416821,195.91463008,,,,,,,,,,,,,,,,,,,,,,,,9.382126952234,12.22483943,,195.73338901,2639.073481553095,,784.02047775,,
2015-05-22,57.49215452,,,,,,,,,,,,,18.70434444,,487.56502794,49.98767902,,,,,,,,,,,,,,,,,,,,,,,12.12928508,376.57470044,,,,,,,,,,,,,,,,,,,,,,,,298.27185861176,12.89486806,,499.96123054,2328.925280812631,,822.80512429,,
2015-05-23,75.27230782,,,,,,,,,,,,,69.93998034,,542.05029034,39.16045394,,,,,,,,,,,,,,,,,,,,,,,23.59155016,759.90007758,,,,,,,,,,,,,,,,,,,,,,,,0.825438939673,11.88389555,,457.93853501,5654.839626603632,,3121.24189529,,
2015-05-24,114.24257881,,,,,,,,,,,,,75.80475093,,103.98976084,31.71499212,,,,,,,,,,,,,,,,,,,,,,,42.03569074,4581.55655669,,,,,,,,,,,,,,,,,,,,,,,,84.442041889097,22.96506508,,77.17811302,6120.992633762083,,36.39321948,,
2015-05-25,80.41240891,,,,,,,,,,,,,199.1576897,,24.84153325,44.47724695,,,,,,,,,,,,,,,,,,,,,,,37.52513065,24549.87588152,,,,,,,,,,,,,,,,,,,,,,,,1.093406703162,38.78138368,,291.65369494,1654.508362264845,,176.53462638,,
2015-05-26,61.80324391,,,,,,,,,,,,,89.14239645,,360.20569542,29.77078934,,,,,,,,,,,,,,,,,,,,,,,48.06979828,377127.01,,,,,,,,,,,,,,,,,,,,,,,,153.411756777184,9.08462038,,822.1552868,2226.845180384577,,160.46650463,,
2015-05-27,60.83230085,,,,,,,,,,,,,160.99580138,,162.6468373,22.55475783,,,,,,,,,,,,,,,,,,,,,,,28.43313928,737.54974747,,,,,,,,,,,,,,,,,,,,,,,,3.611264484125,10.43562734,,189.81692753,2048.568096875898,,1199.99688703,,
2015-05-28,63.24859965,,,,,,,,,,,,,110.00982029,,217.42209466,29.51352148,,,,,,,,,,,,,,,,,,,,,,,33.05360429,4118.90574487,,,,,,,,,,,,,,,,,,,,,,,,17.373939486626,9.1970296,,158.90053911,1052.517677939024,,915.16462876,,
